run,label_idx,alpha,tp,fp,tn,fn,name
18,2,0.25,2206,199,564,749,df_ml_cc_w_demo_ip
19,0,0.25,464,774,2333,151,df_ml_cc_w_demo_ip
19,1,0.25,403,775,2379,165,df_ml_cc_w_demo_ip
19,2,0.25,2175,231,562,754,df_ml_cc_w_demo_ip
20,0,0.25,448,749,2357,167,df_ml_cc_w_demo_ip
20,1,0.25,421,745,2393,162,df_ml_cc_w_demo_ip
20,2,0.25,2177,197,614,733,df_ml_cc_w_demo_ip
21,0,0.25,448,759,2334,178,df_ml_cc_w_demo_ip
21,1,0.25,427,729,2405,158,df_ml_cc_w_demo_ip
21,2,0.25,2195,230,577,717,df_ml_cc_w_demo_ip
22,0,0.25,446,744,2360,172,df_ml_cc_w_demo_ip
22,1,0.25,500,807,2298,117,df_ml_cc_w_demo_ip
22,2,0.25,2150,203,628,741,df_ml_cc_w_demo_ip
23,0,0.25,454,802,2315,160,df_ml_cc_w_demo_ip
23,1,0.25,449,792,2353,137,df_ml_cc_w_demo_ip
23,2,0.25,2152,199,595,785,df_ml_cc_w_demo_ip
24,0,0.25,466,786,2310,161,df_ml_cc_w_demo_ip
24,1,0.25,466,717,2409,131,df_ml_cc_w_demo_ip
24,2,0.25,2209,170,658,686,df_ml_cc_w_demo_ip
25,0,0.25,461,764,2342,157,df_ml_cc_w_demo_ip
25,1,0.25,459,796,2334,135,df_ml_cc_w_demo_ip
25,2,0.25,2190,178,635,721,df_ml_cc_w_demo_ip
26,0,0.25,482,681,2391,167,df_ml_cc_w_demo_ip
26,1,0.25,489,760,2335,137,df_ml_cc_w_demo_ip
26,2,0.25,2229,230,601,661,df_ml_cc_w_demo_ip
27,0,0.25,437,770,2355,159,df_ml_cc_w_demo_ip
27,1,0.25,400,727,2436,158,df_ml_cc_w_demo_ip
27,2,0.25,2213,185,576,747,df_ml_cc_w_demo_ip
28,0,0.25,489,764,2321,147,df_ml_cc_w_demo_ip
28,1,0.25,463,798,2344,116,df_ml_cc_w_demo_ip
28,2,0.25,2207,193,612,709,df_ml_cc_w_demo_ip
29,0,0.25,418,779,2359,171,df_ml_cc_w_demo_ip
29,1,0.25,475,795,2334,123,df_ml_cc_w_demo_ip
29,2,0.25,2216,206,590,715,df_ml_cc_w_demo_ip
30,0,0.25,422,753,2387,162,df_ml_cc_w_demo_ip
30,1,0.25,412,833,2348,131,df_ml_cc_w_demo_ip
30,2,0.25,2207,172,584,761,df_ml_cc_w_demo_ip
31,0,0.25,465,797,2321,145,df_ml_cc_w_demo_ip
31,1,0.25,436,794,2360,138,df_ml_cc_w_demo_ip
31,2,0.25,2210,178,623,717,df_ml_cc_w_demo_ip
32,0,0.25,468,744,2357,155,df_ml_cc_w_demo_ip
32,1,0.25,442,795,2329,158,df_ml_cc_w_demo_ip
32,2,0.25,2202,192,631,699,df_ml_cc_w_demo_ip
33,0,0.25,434,782,2342,164,df_ml_cc_w_demo_ip
33,1,0.25,444,757,2392,129,df_ml_cc_w_demo_ip
33,2,0.25,2213,218,564,727,df_ml_cc_w_demo_ip
34,0,0.25,440,685,2428,169,df_ml_cc_w_demo_ip
34,1,0.25,444,747,2401,130,df_ml_cc_w_demo_ip
34,2,0.25,2188,198,611,725,df_ml_cc_w_demo_ip
35,0,0.25,448,742,2387,152,df_ml_cc_w_demo_ip
35,1,0.25,449,775,2365,140,df_ml_cc_w_demo_ip
35,2,0.25,2189,212,599,729,df_ml_cc_w_demo_ip
36,0,0.25,472,818,2272,161,df_ml_cc_w_demo_ip
36,1,0.25,478,781,2334,130,df_ml_cc_w_demo_ip
36,2,0.25,2182,199,638,704,df_ml_cc_w_demo_ip
37,0,0.25,437,792,2312,174,df_ml_cc_w_demo_ip
37,1,0.25,409,773,2362,171,df_ml_cc_w_demo_ip
37,2,0.25,2160,253,558,744,df_ml_cc_w_demo_ip
38,0,0.25,443,736,2384,161,df_ml_cc_w_demo_ip
38,1,0.25,435,774,2372,143,df_ml_cc_w_demo_ip
38,2,0.25,2242,179,603,700,df_ml_cc_w_demo_ip
39,0,0.25,505,765,2323,136,df_ml_cc_w_demo_ip
39,1,0.25,482,784,2341,122,df_ml_cc_w_demo_ip
39,2,0.25,2183,188,642,716,df_ml_cc_w_demo_ip
