run,label_idx,crc_TP,crc_FP,crc_TN,crc_FN,rcps_TP,rcps_FP,rcps_TN,rcps_FN,ltt_TP,ltt_FP,ltt_TN,ltt_FN,name
94,2,2221,645,180,677,2338,682,143,560,0,0,825,2898,df_wo_demo_025
95,0,373,1804,1290,259,413,2000,1094,219,0,0,3094,632,df_wo_demo_025
95,1,309,1577,1547,293,351,1745,1379,251,0,0,3124,602,df_wo_demo_025
95,2,2208,627,193,698,2339,668,152,567,0,0,820,2906,df_wo_demo_025
96,0,302,1613,1512,298,331,1769,1356,269,0,0,3125,600,df_wo_demo_025
96,1,269,1488,1676,292,297,1633,1531,264,0,0,3164,561,df_wo_demo_025
96,2,2339,617,164,605,2468,651,130,476,0,0,781,2944,df_wo_demo_025
97,0,342,1874,1220,291,342,1874,1220,291,0,0,3094,633,df_wo_demo_025
97,1,345,1783,1351,248,345,1783,1351,248,0,0,3134,593,df_wo_demo_025
97,2,2311,665,164,587,2311,665,164,587,0,0,829,2898,df_wo_demo_025
98,0,260,1269,1834,354,303,1564,1539,311,0,0,3103,614,df_wo_demo_025
98,1,154,920,2207,436,197,1127,2000,393,0,0,3127,590,df_wo_demo_025
98,2,2323,638,175,581,2524,703,110,380,0,0,813,2904,df_wo_demo_025
99,0,345,1816,1285,275,345,1816,1285,275,0,0,3101,620,df_wo_demo_025
99,1,207,1035,2096,383,207,1035,2096,383,0,0,3131,590,df_wo_demo_025
99,2,2307,638,171,605,2307,638,171,605,0,0,809,2912,df_wo_demo_025
0,0,190,866,2211,459,190,866,2211,459,235,1095,1982,414,df_w_demo_025
0,1,229,1269,1893,335,229,1269,1893,335,278,1502,1660,286,df_w_demo_025
0,2,2462,702,93,469,2462,702,93,469,2618,726,69,313,df_w_demo_025
1,0,341,1627,1490,271,341,1627,1490,271,0,0,3117,612,df_w_demo_025
1,1,316,1862,1318,233,316,1862,1318,233,0,0,3180,549,df_w_demo_025
1,2,2333,633,152,611,2333,633,152,611,0,0,785,2944,df_w_demo_025
2,0,306,1610,1515,288,306,1610,1515,288,0,0,3125,594,df_w_demo_025
2,1,295,1716,1458,250,295,1716,1458,250,0,0,3174,545,df_w_demo_025
2,2,2409,639,134,537,2409,639,134,537,0,0,773,2946,df_w_demo_025
3,0,276,1283,1814,350,295,1406,1691,331,0,0,3097,626,df_w_demo_025
3,1,266,1456,1673,328,293,1570,1559,301,0,0,3129,594,df_w_demo_025
3,2,2398,687,132,506,2466,699,120,438,0,0,819,2904,df_w_demo_025
4,0,271,1286,1833,336,313,1498,1621,294,271,1286,1833,336,df_w_demo_025
4,1,175,987,2162,402,213,1133,2016,364,175,987,2162,402,df_w_demo_025
4,2,2410,637,149,530,2519,670,116,421,2410,637,149,530,df_w_demo_025
5,0,260,1327,1792,344,260,1327,1792,344,0,0,3119,604,df_w_demo_025
5,1,222,1123,1995,383,222,1123,1995,383,0,0,3118,605,df_w_demo_025
5,2,2324,656,164,579,2324,656,164,579,0,0,820,2903,df_w_demo_025
6,0,269,1400,1729,324,306,1604,1525,287,0,0,3129,593,df_w_demo_025
6,1,226,1162,1972,362,252,1338,1796,336,0,0,3134,588,df_w_demo_025
6,2,2252,612,163,695,2468,653,122,479,0,0,775,2947,df_w_demo_025
